#{"t_start": 1783192909.3785348, "env_id": "CartPole-v1"}
r,l,t,original_reward,shaped_reward
10.0,10,1.918789,10.0,10.0
16.0,16,1.927452,16.0,16.0
19.0,19,1.936743,19.0,19.0
44.0,44,1.958866,44.0,44.0
18.0,18,1.966889,18.0,18.0
13.0,13,1.973903,13.0,13.0
31.0,31,1.98999,31.0,31.0
16.0,16,1.998368,16.0,16.0
19.0,19,2.008327,19.0,19.0
17.0,17,2.017329,17.0,17.0
15.0,15,2.025638,15.0,15.0
28.0,28,2.041403,28.0,28.0
26.0,26,2.1619,26.0,26.0
17.0,17,2.171072,17.0,17.0
16.0,16,2.180827,16.0,16.0
18.0,18,2.191213,18.0,18.0
28.0,28,2.207003,28.0,28.0
20.0,20,2.21804,20.0,20.0
42.0,42,2.243128,42.0,42.0
49.0,49,2.272447,49.0,49.0
23.0,23,2.286293,23.0,23.0
13.0,13,2.293892,13.0,13.0
